OrderID;CustomerID;ProductID;OrderDateFixed;Quantity;UnitPrice;DiscountsUsedFixed;DiscountPercent;TotalPriceFix;CampaignID
ORD000334;CUST0188;PRD004;1.7.2024;4;110,52;No;;442,08;No Campaign
ORD001999;CUST0062;PRD027;4.3.2024;2;89,36;No;;178,72;No Campaign
ORD001882;CUST0233;PRD005;21.8.2024;2;114,73;No;;229,46;No Campaign
ORD001679;CUST0063;PRD003;18.12.2024;1;54,5;Yes;20;43,6;CMP007
ORD000593;CUST0220;PRD018;4.1.2024;2;84,8;Yes;20;135,68;No Campaign
ORD001175;CUST0197;PRD034;26.6.2024;2;97,71;No;;195,42;No Campaign
ORD001146;CUST0205;PRD021;17.5.2024;1;144,21;Yes;15;122,58;No Campaign
ORD001951;CUST0108;PRD004;17.5.2024;3;110,52;Yes;20;265,25;No Campaign
ORD002321;CUST0068;PRD019;27.8.2024;1;105,93;Yes;20;84,74;No Campaign
ORD001734;CUST0203;PRD028;25.2.2024;2;114,4;Yes;15;194,48;No Campaign
ORD001646;CUST0117;PRD005;8.3.2024;1;114,73;Yes;15;97,52;CMP008
ORD001863;CUST0074;PRD016;5.11.2024;2;77,06;No;;154,12;No Campaign
ORD001687;CUST0106;PRD019;5.12.2024;1;105,93;No;;105,93;CMP004
ORD001323;CUST0242;PRD044;14.2.2024;1;38,28;No;;38,28;No Campaign
ORD001263;CUST0198;PRD012;10.7.2024;3;67,03;No;;201,09;No Campaign
ORD002277;CUST0051;PRD016;15.9.2024;3;77,06;No;;231,18;No Campaign
ORD000733;CUST0025;PRD020;30.12.2024;2;44,96;No;;89,92;CMP003
ORD001424;CUST0056;PRD022;27.8.2024;2;36,13;Yes;20;57,81;CMP003
ORD000579;CUST0115;PRD035;26.3.2024;4;105,18;No;;420,72;CMP002
ORD000841;CUST0158;PRD012;8.7.2024;1;67,03;No;;67,03;CMP001
ORD001714;CUST0167;PRD008;7.7.2024;1;34,35;Yes;10;30,92;CMP007
ORD000230;CUST0095;PRD053;13.7.2024;1;12,65;No;;12,65;No Campaign
ORD000339;CUST0104;PRD014;8.2.2024;1;19,71;No;;19,71;CMP004
ORD001483;CUST0155;PRD055;4.12.2024;1;146,19;No;;146,19;No Campaign
ORD001656;CUST0053;PRD003;20.10.2024;1;54,5;No;;54,5;No Campaign
ORD001398;CUST0246;PRD031;23.11.2024;1;50,82;Yes;15;43,2;CMP001
ORD000838;CUST0119;PRD006;2.11.2024;1;25,77;Yes;20;20,62;CMP001
ORD002328;CUST0213;PRD002;14.12.2024;4;134,25;Yes;10;483,3;CMP001
ORD000405;CUST0050;PRD003;5.7.2024;1;54,5;Yes;15;46,33;No Campaign
ORD000293;CUST0182;PRD050;28.7.2024;4;31,99;Yes;15;108,77;No Campaign
ORD002226;CUST0218;PRD031;24.11.2024;2;50,82;Yes;15;86,39;No Campaign
ORD002020;CUST0169;PRD004;8.5.2024;2;110,52;No;;221,04;CMP007
ORD000533;CUST0012;PRD042;13.2.2024;2;77,36;No;;154,72;No Campaign
ORD000142;CUST0174;PRD042;16.2.2024;1;77,36;No;;77,36;CMP008
ORD000122;CUST0169;PRD013;30.3.2024;1;46,11;Yes;25;34,58;No Campaign
ORD000799;CUST0103;PRD043;5.9.2024;1;83,38;No;;83,38;No Campaign
ORD002279;CUST0008;PRD003;4.8.2024;1;54,5;Yes;25;40,88;CMP004
ORD001740;CUST0117;PRD024;25.7.2024;2;79,13;Yes;25;118,7;CMP003
ORD000115;CUST0204;PRD031;2.2.2024;1;50,82;Yes;15;43,2;CMP005
ORD001177;CUST0001;PRD025;9.10.2024;1;62,88;Yes;10;56,59;No Campaign
ORD000223;CUST0100;PRD055;3.6.2024;1;146,19;Yes;10;131,57;CMP007
ORD000769;CUST0062;PRD019;13.1.2024;1;105,93;Yes;25;79,45;No Campaign
ORD000728;CUST0096;PRD040;22.1.2024;2;62,21;Yes;10;111,98;CMP007
